Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7EzU9pISYmjeJo1gJxc8ay,"Chiki Ouel Biriki","Marjana - Reggadiates Volume 4","Jalal El Hamdaoui",2000,114933,1,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:43:55Z,"moroccan pop,rif","Fassiphone",0.742,0.935,9,-4.993,0,0.1,0.0917,0,0.786,0.885,100.003,4
4sWvTDLFZnt09ZNcYJboBP,"Ana Ou Ghzali","Reggadiates","Jalal El Hamdaoui",2000,114306,0,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:44:32Z,"moroccan pop,rif","Fassiphone",0.736,0.755,5,-8.871,0,0.089,0.189,0.00000751,0.311,0.857,99.078,4
4uppwDrcQIFhxZeqxsiUAv,"Dourbiha","La plus grande soirée marocaine (Ambiance Live non stop)","Youmni Rabii,Orchestre Chemssy",2014-10-27,204786,17,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:45:43Z,"chaabi marocain,classic moroccan pop,rif","MLP / History",0.668,0.932,11,-5.706,1,0.136,0.706,0.000347,0.583,0.912,113.025,3
2jClxeDLzgrH4SUQ52ujDh,"Hayya Jat Hdnao","Arassiates, Vol. 3","Jalal El Hamdaoui",2020-03-16,157361,26,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:48:19Z,"moroccan pop,rif","725691 Records DK",0.643,0.974,5,-5.402,1,0.0755,0.168,0.00000329,0.404,0.963,110.991,3
55nIW8AiZxONfbnETAk8TW,"Ralla Wah Ohrag Zi Allh Allh - Live","Ralla Wah Ohrag Zi Allh Allh (Live)","Rachid Anas",2019-07-26,245956,30,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:48:56Z,"rif","Rachid Anas",0.723,0.854,9,-5.817,1,0.0847,0.558,0,0.453,0.719,107.956,4
4bAxMcvheQcRFt56VHht09,"Chouafa","Festival marocain (28 titres originaux)","Youmni",2016-03-07,250280,11,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:49:56Z,"","MLP",0.621,0.816,1,-4.988,1,0.116,0.378,0.000619,0.335,0.663,90.811,3
62hZU7fFsGIhviHDQEL5MK,"Visa Oul Passeport","Megouani","Abdelaziz Stati",2014-04-22,473966,23,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:50:33Z,"chaabi marocain,moroccan pop","EVM Production",0.341,0.862,10,-7.308,0,0.469,0.342,0,0.474,0.458,205.618,3
5CilhBAJkzrUcYhUuCCIa4,"Ofigh Ofigh Ayama","Ofigh Ofigh Ayama","Mourad Salam",2015-01-01,368352,0,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:51:17Z,"rif","Yein France & Disco Melillia",0.858,0.78,7,-9.925,1,0.0517,0.0397,0.00896,0.0797,0.961,113.662,4
76ej94nqmhe05PyEvw15wK,"Youm Wara Youm","Youm Wara Youm","Samira Said,Cheb Mami",2002-06-15,255152,49,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:51:48Z,"arab pop,rif,moroccan pop,rai,reggae maghreb","Global",0.794,0.565,0,-8.029,1,0.0538,0.0665,0.00000106,0.0486,0.555,100.03,4
6mMch2QkhDvE6e48uyA8vt,"Myriama - Remastered","Best of Douzi","Douzi",2017-01-23,195240,42,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:53:14Z,"moroccan pop,rif","Linatop",0.765,0.835,1,-5.541,1,0.0606,0.163,0,0.0723,0.946,117.044,4
5vRHQ3jW1YDwLEg5Lj6X4j,"Ana Wiak","Ana Wiak","Aminux",2013-09-21,200880,32,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:55:18Z,"moroccan pop","Aminux",0.691,0.816,9,-7.852,0,0.0983,0.225,0.0000012,0.156,0.414,97.972,4
