Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3Yh64aiu2ANBwDFztyPDkT,Have You Ever Been (To Electric Ladyland),Electric Ladyland,Jimi Hendrix,1968-10-25,130039,48,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:41:53Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.43,0.498,10,-9.203,0,0.0618,0.23,0.000164,0.113,0.655,73.104,audio_features,spotify:track:3Yh64aiu2ANBwDFztyPDkT,https://api.spotify.com/v1/tracks/3Yh64aiu2ANBwDFztyPDkT,https://api.spotify.com/v1/audio-analysis/3Yh64aiu2ANBwDFztyPDkT,130040,4
4COmeKH1pLNNpXcgtMcyQH,...And the Gods Made Love,Electric Ladyland,Jimi Hendrix,1968-10-25,82626,38,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:41:58Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.312,0.77,6,-13.991,1,0.282,0.339,0.271,0.11,0.0298,101.152,audio_features,spotify:track:4COmeKH1pLNNpXcgtMcyQH,https://api.spotify.com/v1/tracks/4COmeKH1pLNNpXcgtMcyQH,https://api.spotify.com/v1/audio-analysis/4COmeKH1pLNNpXcgtMcyQH,82627,4
11tIPf6hU1RF5Z3gm2o2rU,Exp,Axis: Bold As Love,Jimi Hendrix,1967-12-01,115280,35,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:16Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.409,0.331,1,-15.47,1,0.219,0.565,0.00199,0.0896,0.198,56.048,audio_features,spotify:track:11tIPf6hU1RF5Z3gm2o2rU,https://api.spotify.com/v1/tracks/11tIPf6hU1RF5Z3gm2o2rU,https://api.spotify.com/v1/audio-analysis/11tIPf6hU1RF5Z3gm2o2rU,115280,5
4oarDDCWsSnX2WOIRKuQo1,Up From The Skies,Axis: Bold As Love,Jimi Hendrix,1967-12-01,177866,40,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:20Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.659,0.635,10,-10.569,0,0.202,0.603,0.0214,0.172,0.413,144.965,audio_features,spotify:track:4oarDDCWsSnX2WOIRKuQo1,https://api.spotify.com/v1/tracks/4oarDDCWsSnX2WOIRKuQo1,https://api.spotify.com/v1/audio-analysis/4oarDDCWsSnX2WOIRKuQo1,177867,4
2KFE98Iw0X23sf4vJYcbLH,Spanish Castle Magic,Axis: Bold As Love,Jimi Hendrix,1967-12-01,183320,49,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:23Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.405,0.831,5,-5.293,0,0.0671,0.0504,0.0918,0.805,0.805,130.856,audio_features,spotify:track:2KFE98Iw0X23sf4vJYcbLH,https://api.spotify.com/v1/tracks/2KFE98Iw0X23sf4vJYcbLH,https://api.spotify.com/v1/audio-analysis/2KFE98Iw0X23sf4vJYcbLH,183320,5
2YtVzmZzew1ILUdNueyWd7,Wait Until Tomorrow,Axis: Bold As Love,Jimi Hendrix,1967-12-01,182546,45,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:27Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.643,0.697,8,-7.192,1,0.0568,0.203,0.00525,0.15,0.824,116.395,audio_features,spotify:track:2YtVzmZzew1ILUdNueyWd7,https://api.spotify.com/v1/tracks/2YtVzmZzew1ILUdNueyWd7,https://api.spotify.com/v1/audio-analysis/2YtVzmZzew1ILUdNueyWd7,182547,4
1ToNKcpVRTxzAgRiywifMt,Ain't No Telling,Axis: Bold As Love,Jimi Hendrix,1967-12-01,108373,38,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:30Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.405,0.902,7,-5.9,1,0.121,0.216,0.0633,0.468,0.589,151.838,audio_features,spotify:track:1ToNKcpVRTxzAgRiywifMt,https://api.spotify.com/v1/tracks/1ToNKcpVRTxzAgRiywifMt,https://api.spotify.com/v1/audio-analysis/1ToNKcpVRTxzAgRiywifMt,108373,4
1Eolhana7nKHYpcYpdVcT5,Little Wing,Axis: Bold As Love,Jimi Hendrix,1967-12-01,145746,67,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:34Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.515,0.534,6,-8.045,1,0.0768,0.181,0.00278,0.0547,0.426,70.776,audio_features,spotify:track:1Eolhana7nKHYpcYpdVcT5,https://api.spotify.com/v1/tracks/1Eolhana7nKHYpcYpdVcT5,https://api.spotify.com/v1/audio-analysis/1Eolhana7nKHYpcYpdVcT5,145747,4
0J3CHAStO3pNGTnYnxKZod,If 6 Was 9,Axis: Bold As Love,Jimi Hendrix,1967-12-01,334520,46,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:38Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.39,0.648,8,-9.789,1,0.137,0.00428,0.0531,0.689,0.493,103.496,audio_features,spotify:track:0J3CHAStO3pNGTnYnxKZod,https://api.spotify.com/v1/tracks/0J3CHAStO3pNGTnYnxKZod,https://api.spotify.com/v1/audio-analysis/0J3CHAStO3pNGTnYnxKZod,334520,3
2Fu2CXFkfiKKXPGtbDDlvj,You Got Me Floatin',Axis: Bold As Love,Jimi Hendrix,1967-12-01,168240,38,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:41Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.477,0.883,6,-5.889,1,0.291,0.0414,0.0,0.239,0.794,130.168,audio_features,spotify:track:2Fu2CXFkfiKKXPGtbDDlvj,https://api.spotify.com/v1/tracks/2Fu2CXFkfiKKXPGtbDDlvj,https://api.spotify.com/v1/audio-analysis/2Fu2CXFkfiKKXPGtbDDlvj,168240,4
3qebSLgUwaEqbwCM5sj5Kh,Castles Made of Sand,Axis: Bold As Love,Jimi Hendrix,1967-12-01,168920,57,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:45Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.461,0.714,11,-9.159,0,0.313,0.504,0.0171,0.684,0.454,94.372,audio_features,spotify:track:3qebSLgUwaEqbwCM5sj5Kh,https://api.spotify.com/v1/tracks/3qebSLgUwaEqbwCM5sj5Kh,https://api.spotify.com/v1/audio-analysis/3qebSLgUwaEqbwCM5sj5Kh,168920,4
5Zyv0v4rPcrXjkaeImuodv,One Rainy Wish,Axis: Bold As Love,Jimi Hendrix,1967-12-01,221826,49,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:54Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.316,0.756,8,-6.315,1,0.1,0.294,0.429,0.351,0.332,165.963,audio_features,spotify:track:5Zyv0v4rPcrXjkaeImuodv,https://api.spotify.com/v1/tracks/5Zyv0v4rPcrXjkaeImuodv,https://api.spotify.com/v1/audio-analysis/5Zyv0v4rPcrXjkaeImuodv,221827,4
4pvY1WQBeAgPGMnWglrWY4,Little Miss Lover,Axis: Bold As Love,Jimi Hendrix,1967-12-01,141453,38,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:42:57Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.53,0.916,1,-5.643,1,0.081,0.0549,0.000302,0.3,0.905,98.722,audio_features,spotify:track:4pvY1WQBeAgPGMnWglrWY4,https://api.spotify.com/v1/tracks/4pvY1WQBeAgPGMnWglrWY4,https://api.spotify.com/v1/audio-analysis/4pvY1WQBeAgPGMnWglrWY4,141453,4
0uco0wQkB909zpPlHvu5Cc,Bold as Love,Axis: Bold As Love,Jimi Hendrix,1967-12-01,251013,51,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:43:01Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.354,0.741,1,-6.389,1,0.0806,0.018,0.0134,0.0753,0.596,142.348,audio_features,spotify:track:0uco0wQkB909zpPlHvu5Cc,https://api.spotify.com/v1/tracks/0uco0wQkB909zpPlHvu5Cc,https://api.spotify.com/v1/audio-analysis/0uco0wQkB909zpPlHvu5Cc,251013,4
4sQdW03IQh3tsZeBELdt5G,Foxey Lady,Are You Experienced,Jimi Hendrix,1967-05-12,199186,39,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:43:11Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.507,0.851,4,-5.995,1,0.0386,0.0612,0.157,0.371,0.587,98.061,audio_features,spotify:track:4sQdW03IQh3tsZeBELdt5G,https://api.spotify.com/v1/tracks/4sQdW03IQh3tsZeBELdt5G,https://api.spotify.com/v1/audio-analysis/4sQdW03IQh3tsZeBELdt5G,199187,4
6DRtSttaJsE8fstgTRll3p,Manic Depression,Are You Experienced,Jimi Hendrix,1967-05-12,222226,34,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:43:14Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.351,0.969,1,-4.924,1,0.129,0.0132,0.0619,0.151,0.747,149.687,audio_features,spotify:track:6DRtSttaJsE8fstgTRll3p,https://api.spotify.com/v1/tracks/6DRtSttaJsE8fstgTRll3p,https://api.spotify.com/v1/audio-analysis/6DRtSttaJsE8fstgTRll3p,222227,3
7bbf6izisrvlYdFVGeV8q9,Red House,Are You Experienced,Jimi Hendrix,1967-05-12,224453,38,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:43:17Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.36,0.532,11,-5.993,1,0.143,0.587,0.0777,0.185,0.43,198.958,audio_features,spotify:track:7bbf6izisrvlYdFVGeV8q9,https://api.spotify.com/v1/tracks/7bbf6izisrvlYdFVGeV8q9,https://api.spotify.com/v1/audio-analysis/7bbf6izisrvlYdFVGeV8q9,224453,3
2RUGdg80MApSer2rx7JrZr,Can You See Me,Are You Experienced,Jimi Hendrix,1967-05-12,152826,30,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:43:20Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.571,0.816,6,-5.441,0,0.0461,0.219,0.136,0.357,0.921,134.277,audio_features,spotify:track:2RUGdg80MApSer2rx7JrZr,https://api.spotify.com/v1/tracks/2RUGdg80MApSer2rx7JrZr,https://api.spotify.com/v1/audio-analysis/2RUGdg80MApSer2rx7JrZr,152827,4
1fbK6qvv0PghESZsg0Kasi,Love Or Confusion,Are You Experienced,Jimi Hendrix,1967-05-12,193293,29,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:43:24Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.266,0.884,7,-4.03,1,0.0648,0.0133,0.913,0.0846,0.495,110.468,audio_features,spotify:track:1fbK6qvv0PghESZsg0Kasi,https://api.spotify.com/v1/tracks/1fbK6qvv0PghESZsg0Kasi,https://api.spotify.com/v1/audio-analysis/1fbK6qvv0PghESZsg0Kasi,193293,4
2z7kBHh4EQmY8OsD5JfxKk,I Don't Live Today,Are You Experienced,Jimi Hendrix,1967-05-12,235040,29,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:43:28Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.347,0.919,9,-4.791,1,0.119,0.00464,0.902,0.0699,0.426,111.554,audio_features,spotify:track:2z7kBHh4EQmY8OsD5JfxKk,https://api.spotify.com/v1/tracks/2z7kBHh4EQmY8OsD5JfxKk,https://api.spotify.com/v1/audio-analysis/2z7kBHh4EQmY8OsD5JfxKk,235040,4
7jDhN4HgZjrirHMo3fofn3,May This Be Love,Are You Experienced,Jimi Hendrix,1967-05-12,191133,30,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:43:31Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.517,0.609,8,-9.309,1,0.0682,0.207,0.148,0.105,0.482,95.38,audio_features,spotify:track:7jDhN4HgZjrirHMo3fofn3,https://api.spotify.com/v1/tracks/7jDhN4HgZjrirHMo3fofn3,https://api.spotify.com/v1/audio-analysis/7jDhN4HgZjrirHMo3fofn3,191133,4
